Symbol,Name,Price,Change,% Change,Volume,Avg Vol(3 months),Market Cap
VICI,VICI Properties Inc.,25.10,-0.32,-1.26%,9.062M,4.703M,13.395B
TECK,Teck Resources Limited,14.37,+0.66,+4.81%,5.232M,3.57M,7.63B
VLO,Valero Energy Corporation,49.10,+2.54,+5.46%,6.025M,4.22M,20.021B
SLM,SLM Corporation,8.14,+0.32,+4.09%,6.788M,4.985M,3.054B
BMY,Bristol-Myers Squibb Company,59.45,-0.08,-0.13%,5.743M,11.182M,133.996B
V,Visa Inc.,205.13,-0.26,-0.13%,6.119M,8.113M,450.351B
CNP,"CenterPoint Energy, Inc.",19.74,+0.73,+3.84%,7.072M,6.712M,10.755B
PG,The Procter & Gamble Company,137.70,-0.93,-0.67%,5.786M,6.593M,342.821B
BEKE,KE Holdings Inc.,60.26,+6.08,+11.22%,6.044M,6.894M,67.942B
PAA,"Plains All American Pipeline, L.P.",7.08,+0.22,+3.21%,5.988M,4.751M,5.155B
SBUX,Starbucks Corporation,88.38,+0.67,+0.76%,6.682M,8.42M,103.316B
NVS,Novartis AG,89.85,-1.15,-1.26%,5.922M,1.725M,207.235B
GGB,Gerdau S.A.,4.0400,-0.0100,-0.25%,6.036M,7.043M,6.499B
DOW,Dow Inc.,49.70,-1.37,-2.68%,5.562M,4.472M,36.834B
AXP,American Express Company,105.98,-0.70,-0.66%,5.641M,4.194M,85.331B
LI,Li Auto Inc.,17.52,-0.67,-3.68%,5.74M,12.618M,14.653B
UPS,"United Parcel Service, Inc.",159.87,-1.66,-1.03%,5.641M,4.305M,144.806B
TJX,"The TJX Companies, Inc.",57.32,+0.46,+0.81%,5.521M,7.317M,68.73B
IVZ,Invesco Ltd.,10.89,+0.36,+3.42%,5.579M,6.071M,5B
TEVA,Teva Pharmaceutical Industries Limited,9.19,+0.03,+0.33%,5.506M,8.998M,10.164B
BRK-B,Berkshire Hathaway Inc.,219.59,+0.65,+0.30%,5.376M,5.591M,524.701B
ARMK,Aramark,28.71,-0.07,-0.24%,6.072M,2.538M,7.263B
AA,Alcoa Corporation,13.90,+0.12,+0.87%,5.45M,6.408M,2.584B
UA,"Under Armour, Inc.",10.70,+0.45,+4.39%,6.231M,5.82M,5.204B
PK,Park Hotels & Resorts Inc.,11.34,+0.18,+1.61%,5.404M,6.445M,2.672B
NEM,Newmont Corporation,67.29,-0.26,-0.38%,5.503M,7.551M,54.039B
HBI,Hanesbrands Inc.,16.21,+0.50,+3.18%,6.431M,6.795M,5.644B
LYG,Lloyds Banking Group plc,1.3400,+0.0400,+3.08%,5.467M,5.854M,24.519B
EXEL,"Exelixis, Inc.",26.63,+1.50,+5.97%,5.463M,2.118M,8.697B
CRM,"salesforce.com, inc.",250.72,-0.96,-0.38%,5.443M,7.993M,228.155B
HRB,"H&R Block, Inc.",14.89,+0.19,+1.29%,5.312M,3.625M,2.872B
PSX,Phillips 66,60.51,+2.46,+4.24%,5.139M,3.275M,26.425B
EOG,"EOG Resources, Inc.",40.86,+2.27,+5.88%,6.201M,4.202M,24.105B
SPOT,Spotify Technology S.A.,234.85,-3.06,-1.29%,5.33M,2.952M,43.996B
AMCR,Amcor plc,11.19,-0.02,-0.18%,6.386M,9.544M,17.476B
CI,Cigna Corporation,168.59,+2.09,+1.26%,5.194M,1.868M,62.916B
WDC,Western Digital Corporation,38.78,+1.00,+2.65%,5.716M,6.028M,12.091B
K,Kellogg Company,63.93,-1.70,-2.59%,5.087M,2.066M,21.923B
SYY,Sysco Corporation,68.25,+2.85,+4.36%,5.061M,3.277M,34.708B
DDOG,"Datadog, Inc.",89.38,+0.84,+0.95%,5.168M,4.51M,27.112B
NVTA,Invitae Corporation,40.07,+1.06,+2.72%,5.105M,3.206M,5.29B
SPR,"Spirit AeroSystems Holdings, Inc.",21.02,+0.66,+3.24%,5.604M,4.98M,2.22B
KIM,Kimco Realty Corporation,13.06,+0.09,+0.69%,5.013M,5.281M,5.649B
CIM,Chimera Investment Corporation,9.12,+0.18,+2.01%,4.16M,3.902M,2.116B
Z,"Zillow Group, Inc.",94.98,+3.81,+4.18%,5.979M,3.633M,21.541B
CZR,"Caesars Entertainment, Inc.",55.94,-3.04,-5.15%,5.099M,11.42M,8.997B
FTV,Fortive Corporation,76.90,-0.30,-0.39%,5.017M,2.584M,26.285B
HTHT,Huazhu Group Limited,42.75,+3.59,+9.17%,5.057M,2.218M,12.698B
DOCU,"DocuSign, Inc.",197.01,-5.01,-2.48%,5.043M,6.341M,36.479B
CHWY,"Chewy, Inc.",56.16,+2.05,+3.79%,4.905M,4.295M,22.552B
